'Case','Image','Detector','Descriptor','Matcher','Selector','Detector Duration (ms)','Descriptor Duration (ms)','Matching Duration (ms)','Keypoints','Mean Size','StdDev Size','Matches'
17,7,BRISK,ORB,BF,KNN,27.2763,7.9921,0.33455,272,22.1472,15.0339,171
17,8,BRISK,ORB,BF,KNN,28.0692,8.30043,0.327924,266,22.5558,15.1888,175
17,9,BRISK,ORB,BF,KNN,27.9904,7.97506,0.287238,254,22.0389,14.6671,172
18,1,BRISK,FREAK,BF,KNN,28.2057,26.4655,0.317696,260,18.8111,9.42448,160
18,2,BRISK,FREAK,BF,KNN,27.6535,26.2314,0.325252,263,19.1982,9.6663,177
18,3,BRISK,FREAK,BF,KNN,27.9908,26.6005,0.337055,264,18.6118,9.30842,155
18,4,BRISK,FREAK,BF,KNN,27.4072,26.592,0.350917,274,19.4133,9.49677,173
18,5,BRISK,FREAK,BF,KNN,29.7586,27.2903,0.36716,256,19.6339,10.6797,161
18,6,BRISK,FREAK,BF,KNN,30.2471,28.0332,0.288727,269,19.0308,10.0575,183
18,7,BRISK,FREAK,BF,KNN,29.428,29.0113,0.299033,255,19.4268,10.3304,169
18,8,BRISK,FREAK,BF,KNN,30.6015,28.945,0.304872,243,19.4233,10.3441,178
18,9,BRISK,FREAK,BF,KNN,30.8131,29.0815,0.301366,237,19.2937,10.1676,168
19,1,BRISK,SIFT,BF,KNN,29.4344,18.4075,0.464814,282,21.7853,14.5646,182
19,2,BRISK,SIFT,BF,KNN,28.4045,18.3863,0.485338,282,21.6509,13.8213,193
19,3,BRISK,SIFT,BF,KNN,28.8769,18.9013,0.493999,277,20.3582,12.6186,169
19,4,BRISK,SIFT,BF,KNN,28.6391,18.8643,0.505361,297,22.5911,14.856,183
19,5,BRISK,SIFT,BF,KNN,28.6945,18.5525,0.511511,279,22.9442,15.8103,171
19,6,BRISK,SIFT,BF,KNN,29.3177,20.7709,0.545041,289,21.8014,14.6758,195
19,7,BRISK,SIFT,BF,KNN,28.2843,19.8426,0.478881,272,22.1472,15.0339,194
19,8,BRISK,SIFT,BF,KNN,28.7086,18.8322,0.422715,266,22.5558,15.1888,176
19,9,BRISK,SIFT,BF,KNN,28.9429,18.176,0.400326,254,22.0389,14.6671,183
20,1,ORB,BRISK,BF,KNN,4.46409,0.920031,0.132305,93,52.613,22.3111,73
20,2,ORB,BRISK,BF,KNN,4.39715,0.92547,0.139334,95,51.149,21.557,74
20,3,ORB,BRISK,BF,KNN,4.39092,1.18996,0.384866,103,50.432,20.7867,79
20,4,ORB,BRISK,BF,KNN,4.58891,1.16068,0.157581,101,52.9904,21.8369,85
20,5,ORB,BRISK,BF,KNN,4.7129,1.0929,0.143719,116,53.0512,21.4004,79
20,6,ORB,BRISK,BF,KNN,4.38674,1.12228,0.157391,120,52.8596,22.2438,92
20,7,ORB,BRISK,BF,KNN,4.31002,1.12682,0.170164,120,51.8731,21.6817,90
20,8,ORB,BRISK,BF,KNN,4.38077,1.22923,0.155642,119,51.347,22.3616,88
20,9,ORB,BRISK,BF,KNN,4.8044,1.5083,0.168767,120,51.2263,20.7831,91
21,1,ORB,BRIEF,BF,KNN,5.10393,0.471852,0.162884,102,57.2273,26.0881,49
21,2,ORB,BRIEF,BF,KNN,5.0315,0.480631,0.10006,106,56.4948,25.9251,43
21,3,ORB,BRIEF,BF,KNN,4.78137,0.382476,0.131549,113,55.1436,25.0955,45
21,4,ORB,BRIEF,BF,KNN,5.17397,0.426079,0.14652,109,56.7442,25.013,59
21,5,ORB,BRIEF,BF,KNN,4.80484,0.409265,0.140342,125,56.6367,24.4294,53
21,6,ORB,BRIEF,BF,KNN,4.99134,0.444566,0.164143,130,56.7683,25.4243,78
21,7,ORB,BRIEF,BF,KNN,4.78966,0.475581,0.166143,129,55.4296,24.7358,68
21,8,ORB,BRIEF,BF,KNN,4.90737,0.41093,0.175115,127,54.6723,25.2603,84
21,9,ORB,BRIEF,BF,KNN,5.10157,0.421593,0.140584,128,54.3886,23.6705,66
22,1,ORB,ORB,BF,KNN,4.66272,9.56129,0.129879,102,57.2273,26.0881,65
22,2,ORB,ORB,BF,KNN,4.67698,9.52513,0.123354,106,56.4948,25.9251,69
22,3,ORB,ORB,BF,KNN,5.08321,9.22044,0.101842,113,55.1436,25.0955,71
22,4,ORB,ORB,BF,KNN,5.11815,9.42651,0.132677,109,56.7442,25.013,85
22,5,ORB,ORB,BF,KNN,4.58962,9.13887,0.128054,125,56.6367,24.4294,91
22,6,ORB,ORB,BF,KNN,4.57049,8.99173,0.145133,130,56.7683,25.4243,101
22,7,ORB,ORB,BF,KNN,4.67909,9.34197,0.140461,129,55.4296,24.7358,95
22,8,ORB,ORB,BF,KNN,4.62611,9.3474,0.158355,127,54.6723,25.2603,93
22,9,ORB,ORB,BF,KNN,4.69613,9.47896,0.15696,128,54.3886,23.6705,91
23,1,ORB,FREAK,BF,KNN,4.83229,26.5905,0.080467,53,37.8083,7.06076,42
23,2,ORB,FREAK,BF,KNN,4.72076,26.84,0.081338,56,37.2,7.02076,36
23,3,ORB,FREAK,BF,KNN,4.3167,26.5032,0.091763,65,38.047,7.24893,44
23,4,ORB,FREAK,BF,KNN,4.32917,26.8735,0.088804,55,37.8358,7.24965,47
23,5,ORB,FREAK,BF,KNN,4.25127,26.8282,0.090973,64,38.9011,7.79129,44
23,6,ORB,FREAK,BF,KNN,4.36557,26.8596,0.096969,66,37.6021,7.09662,51
23,7,ORB,FREAK,BF,KNN,4.28984,26.9926,0.095533,71,38.0872,7.59529,52
23,8,ORB,FREAK,BF,KNN,4.37638,26.8942,0.095981,73,37.8285,7.75962,48
23,9,ORB,FREAK,BF,KNN,4.77402,26.4232,0.128414,71,38.3876,7.67959,56
